slp:resource_uri;cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar
6b35e172-9a43-4558-9b6a-6e7276f0bb5d;;1963-01-12;;CLAUDIO CAJADO SAMPAIO;;;;
83ac0a1b-1d40-4675-8d37-cfadf4fe71d1;;1984-11-29;;ANDERSON MACHADO DE JESUS;;;;
9c47926c-a7dd-41d7-b55b-706b3301f69f;;1958-03-05;;ANGELO MARIO CORONEL DE AZEVEDO MARTINS;;;;
49f8d9a8-1aa9-41b3-b83e-74d3bfd13141;;1976-11-17;;CARLOS TITO MARQUES CORDEIRO;;;;
86816858-2dcd-406a-becf-31256a0c1925;;1979-03-11;;CARLOS FELIPE VAZQUEZ DE SOUZA LEAO;;;;
c26dcaf0-20b9-4aa3-a06a-652b0eab8c0d;;1951-03-16;;JAQUES WAGNER;;;;
3a151134-10c8-430e-a8a7-47986552c0df;;1963-11-29;;FELIX DE ALMEIDA MENDONCA JUNIOR;;;;
3c5b2b3c-623c-4707-adc6-45992ba4883a;;1986-01-30;;DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL;;;;
47e0d29b-9219-4700-8c30-931ee26ff805;;1957-03-06;;JOSE LEONIDAS DE MENEZES CRISTINO;;;;
a64ac4a9-0b68-4db5-afc1-0855d5f37816;;1972-09-25;;LUIS EDUARDO GRANGEIRO GIRAO;;;;
c490d1c6-b88c-486f-991f-8d95e3e4650f;;1980-03-17;;DENIS ANDERSON DA ROCHA BEZERRA;;;;
29211ea5-9a74-4d7d-8333-04012bb566fd;;1959-02-13;;JOSE NOBRE GUIMARAES;;;;
f60cea8c-0c92-45ca-91a0-83589245c7c9;;1983-09-26;;ANTONIO JOSE AGUIAR ALBUQUERQUE;;;;
92b574dd-bf91-4562-bdb8-826b73ea4d3f;;1966-10-11;;ANDRE PEIXOTO FIGUEIREDO LIMA;;;;
fe0b09a3-a0d0-4b83-a5cd-5f111453a993;;1959-09-03;;CARLOS MAURO BENEVIDES FILHO;;;;
22ff265e-a40e-4313-883b-336fc983f306;;1957-02-21;;JOSE AIRTON FELIX CIRILO DA SILVA;;;;
078da386-a2c4-4f18-aa09-b04371b49b66;;1981-11-14;;EDUARDO HENRIQUE MAIA BISMARCK;;;;
5bf8b608-97d3-45b3-8bb0-68581b6e5b2c;;1963-04-27;;CID FERREIRA GOMES;;;;
ff66cead-27dc-4399-afb1-91d340df44bc;;1968-09-23;;ANTONIO IDILVAN DE LIMA ALENCAR;;;;
c3d18e07-51ec-4535-911a-d37ccf2e2bd0;;1961-03-05;;JAZIEL PEREIRA DE SOUSA;;;;
da76396f-9367-4cee-9ffd-05a9ba432044;;1985-04-16;;ANTONIO LUIZ RODRIGUES MANO JUNIOR;;;;
a9112866-fe3e-4443-bf2d-07ecf88370bc;;1980-11-10;;PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES;;;;
ad1de9c2-7859-4226-9e62-a4422bc706f6;;1970-02-15;;MARCOS ROBERIO RIBEIRO MONTEIRO;;;;
272b71ff-2a2e-4af6-bef9-7c50c8f44c9a;;1981-08-10;;HEITOR RODRIGO PEREIRA FREIRE;;;;
1e0c74c7-94c0-4a0a-9878-0e4e01f0d51a;;1987-06-19;;CELIO STUDART BARBOSA;;;;
08d512ef-af94-47ba-a0dd-b0da517ebfd3;;1979-01-21;;WAGNER SOUSA GOMES;;;;
c4b59e9d-2761-4560-baec-28d1eb1ab79c;;1943-05-21;;ROBERTO SOARES PESSOA;;;;
8bf187c4-f5a8-429a-9ad7-6380f95861ca;;1977-02-03;;CELINA LEAO HIZIM;;;;
6dacb30d-ca3d-4e29-ae82-3557be0f05c7;;1980-01-21;;FLAVIA CAROLINA PERES;;;;
cdec4d84-4615-40d2-bfc1-bad3266b21b4;;1957-08-15;;ERIKA JUCA KOKAY;;;;
0046bebf-34a4-40c4-bfcd-ffdeb7ee1d4c;;1980-03-27;;LUIS CLAUDIO FERNANDES MIRANDA;;;;
fb237a30-ecd4-4644-9b0f-3b2d9ff10164;;1982-02-05;;ISRAEL MATOS BATISTA;;;;
78eb5e71-59c3-41bb-a9ad-8d687737a9b5;;1973-06-23;;PAULA MORENO PARO BELMONTE;;;;
5f34ae0b-01b3-4122-8bab-ea5415034f33;;1961-09-19;;BEATRIZ KICIS TORRENTS DE SORDI;;;;
918efae2-ade7-416e-ba5a-8b158fa0cc81;;1975-02-24;;JULIO CESAR RIBEIRO;;;;
a2e524f4-d717-4ce1-b9eb-d6aed852c7bc;;1971-09-30;;LEILA GOMES DE BARROS REGO;;;;
388854c9-68d0-40a4-a29c-dc3857547b17;;1971-02-06;;JOSIAS MARIO DA VITORIA;;;;
ab964d6a-9a5a-4205-be93-94340a1ca2c7;;1961-10-03;;SORAYA DE SOUZA MANNATO;;;;
3efba093-c91b-4b35-ab22-fa18b1aabb84;;1976-04-12;;AMARO ROCHA NASCIMENTO NETO;;;;
89b8c6f8-8722-47ce-a44e-821470a0ffea;;1966-06-20;;FABIANO CONTARATO;;;;
be4a53df-a8a2-47d1-b6fb-c87b6c61384b;;1971-06-15;;MARCOS RIBEIRO DO VAL;;;;
18c8192e-5a15-4de8-8e31-0a741e215344;;1991-06-13;;FELIPE RIGONI LOPES;;;;
be3470f6-ac5a-4837-b260-e487bb74340c;;1970-02-23;;LAURIETE RODRIGUES DE JESUS MALTA;;;;
504d1cf0-7be1-41c5-8d98-3adb3adbc14e;;1953-05-11;;ZACARIAS CALIL HAMU;;;;
f23434ea-6d8b-46f2-8bbb-c3851f708752;;1966-04-07;;ELIAS VAZ DE ANDRADE;;;;
28cccd56-8cdc-4928-ab3c-f3df62f3850b;;1960-09-19;;JOSE NELTO LAGARES DAS MERCEZ;;;;
f09852a1-35e9-4ac5-8b91-c969c2c1c871;;1977-05-31;;VITOR HUGO DE ARAUJO ALMEIDA;;;;
0d146b1c-ff64-4cb9-a4e3-dc2ec9efbbea;;1962-12-28;;JOAO CAMPOS DE ARAUJO;;;;
2d3fec50-2e0a-461f-9e7c-5f47b607f48f;;1961-08-02;;JOSE MARIO SCHREINER;;;;
140c7f2b-f148-4866-8670-ca9f84c636e6;;1969-03-15;;FRANCISCO RODRIGUES VALE JUNIOR;;;;
d807bf44-ab00-49ca-951a-19fbed563927;;1950-08-10;;ALCIDES RODRIGUES FILHO;;;;
06f05690-31d5-4996-a33d-1acfe5a7097c;;1962-11-15;;VANDERLAN VIEIRA CARDOSO;;;;
